,tweet,is_sarcastic,no_stopwords,tokenized,tokenized_no_stopwords
374,but the week after they gave me another chance and i got to speak to them !!! so maybe something rly good will happen soon oo ,0,week gave another chance got speak !!! maybe something rly good happen soon oo,but the week after they gave me another chance and i got to speak to them ! ! ! so maybe something rly good will happen soon oo,week gave another chance got speak ! ! ! maybe something rly good happen soon oo
375,"hi kate, we're very sorry about this. please email your order # to https://t.co/vz2eziyfyk so we can speak with you",0,"hi kate, we're sorry this. please email order # https://t.co/vz2eziyfyk speak","hi kate , we 're very sorry about this . please email your order # to https : //t.co/vz2eziyfyk so we can speak with you","hi kate , we 're sorry this . please email order # https : //t.co/vz2eziyfyk speak"
376,just cos i speak to other people doesn't mean i'm 'leaving you all' i don't even like you anyway so why's it matter ,0,cos speak people mean i'm 'leaving all' even like anyway why's matter,just cos i speak to other people does n't mean i 'm 'leaving you all ' i do n't even like you anyway so why 's it matter,cos speak people mean i 'm 'leaving all ' even like anyway why 's matter
377,thanks so much for your time today freddie. was great to speak to you and i hope the academy is a huge success. ,0,thanks much time today freddie. great speak hope academy huge success.,thanks so much for your time today freddie . was great to speak to you and i hope the academy is a huge success .,thanks much time today freddie . great speak hope academy huge success .
378,"ik has given us courage to speak against these so called vips, ab chahai wo banni galla jayai ya kaheen or #gonawazgo ",0,"ik given us courage speak called vips, ab chahai wo banni galla jayai ya kaheen #gonawazgo","ik has given us courage to speak against these so called vips , ab chahai wo banni galla jayai ya kaheen or # gonawazgo","ik given us courage speak called vips , ab chahai wo banni galla jayai ya kaheen # gonawazgo"
379,"at least i don't have to stay up late night   #ucl #mufc ... and ""get him on a plane.. bring him home from spain #vivaronaldo"" ",1,"least stay late night #ucl #mufc ... ""get plane.. bring home spain #vivaronaldo""",at least i do n't have to stay up late night # ucl # mufc ... and `` get him on a plane .. bring him home from spain # vivaronaldo '',least stay late night # ucl # mufc ... `` get plane .. bring home spain # vivaronaldo ''
380,i'll just have 2! #not #lieswetellourselves #imsleeptho #guiltypleasure #dunkit,1,i'll 2! #not #lieswetellourselves #imsleeptho #guiltypleasure #dunkit,i 'll just have 2 ! # not # lieswetellourselves # imsleeptho # guiltypleasure # dunkit,i 'll 2 ! # not # lieswetellourselves # imsleeptho # guiltypleasure # dunkit
381,holy crap!! panic! #indyref is top story on cnn's us news feed. only ever report important stuff!      ,1,holy crap!! panic! #indyref top story cnn's us news feed. ever report important stuff!,holy crap ! ! panic ! # indyref is top story on cnn 's us news feed . only ever report important stuff !,holy crap ! ! panic ! # indyref top story cnn 's us news feed . ever report important stuff !
382,"absolutely love how you don't speak in person but are so quick to text me with some "" i miss you"" ðÿ˜ ",0,"absolutely love speak person quick text "" miss you"" ðÿ˜",absolutely love how you do n't speak in person but are so quick to text me with some `` i miss you '' ðÿ˜,absolutely love speak person quick text `` miss you '' ðÿ˜
383,"yes, it is. but it's also terrible what happened to the poor kid she doxxed. ",0,"yes, is. also terrible happened poor kid doxxed.","yes , it is . but it 's also terrible what happened to the poor kid she doxxed .","yes , is . also terrible happened poor kid doxxed ."
384,as we speak i am typing my paper that is due thursday that i have to type tonight because i have so much to do and 4 tests ðÿ‘ž,1,speak typing paper due thursday type tonight much 4 tests ðÿ‘ž,as we speak i am typing my paper that is due thursday that i have to type tonight because i have so much to do and 4 tests ðÿ ‘ ž,speak typing paper due thursday type tonight much 4 tests ðÿ ‘ ž
385,for the first time in my life i literally spent an entire weekend doing school work and reading... #noteveninhygieneschool ,1,first time life literally spent entire weekend school work reading... #noteveninhygieneschool,for the first time in my life i literally spent an entire weekend doing school work and reading ... # noteveninhygieneschool,first time life literally spent entire weekend school work reading ... # noteveninhygieneschool
386,gonna teach him how to properly speak in english and etc my life is so so nul a chier but awespme at the same time ,0,gonna teach properly speak english etc life nul chier awespme time,gon na teach him how to properly speak in english and etc my life is so so nul a chier but awespme at the same time,gon na teach properly speak english etc life nul chier awespme time
387,i love the fa to that townies can come protest on campus freely #not ,1,love fa townies come protest campus freely #not,i love the fa to that townies can come protest on campus freely # not,love fa townies come protest campus freely # not
388,nothing captures her attention more than a lizard on the ceiling #maybetuna #cats #pets #love #furball #hunter #not ,1,nothing captures attention lizard ceiling #maybetuna #cats #pets #love #furball #hunter #not,nothing captures her attention more than a lizard on the ceiling # maybetuna # cats # pets # love # furball # hunter # not,nothing captures attention lizard ceiling # maybetuna # cats # pets # love # furball # hunter # not
389,you ever seen somebody you was so tight with like legit would give your last to out &amp; y'all don't even speak anymore? ,0,ever seen somebody tight like legit would give last &amp; y'all even speak anymore?,you ever seen somebody you was so tight with like legit would give your last to out & amp ; y'all do n't even speak anymore ?,ever seen somebody tight like legit would give last & amp ; y'all even speak anymore ?
390,want to learn to speak icelandic. rosetta stone doesn't have icelandic so mighty ducks 2 it is. #thegooalienoo! #the #gooalie #n #o #o!,0,want learn speak icelandic. rosetta stone icelandic mighty ducks 2 is. #thegooalienoo! #the #gooalie #n #o #o!,want to learn to speak icelandic . rosetta stone does n't have icelandic so mighty ducks 2 it is . # thegooalienoo ! # the # gooalie # n # o # o !,want learn speak icelandic . rosetta stone icelandic mighty ducks 2 is . # thegooalienoo ! # the # gooalie # n # o # o !
391,i can't speak to your preferences. but i can say that this is the 1st big aapl initiative so completely tied to existing ecosystem,0,can't speak preferences. say 1st big aapl initiative completely tied existing ecosystem,i ca n't speak to your preferences . but i can say that this is the 1st big aapl initiative so completely tied to existing ecosystem,ca n't speak preferences . say 1st big aapl initiative completely tied existing ecosystem
392,when someone expects you to speak... you didn't speak to me so why should i? #soserious ,0,someone expects speak... speak i? #soserious,when someone expects you to speak ... you did n't speak to me so why should i ? # soserious,someone expects speak ... speak i ? # soserious
393,i just love getting inside headers. beater inspection very therapeutic! tweet #harvest14 #agchatoz,1,love getting inside headers. beater inspection therapeutic! tweet #harvest14 #agchatoz,i just love getting inside headers . beater inspection very therapeutic ! tweet # harvest14 # agchatoz,love getting inside headers . beater inspection therapeutic ! tweet # harvest14 # agchatoz
394,i love how others make their problem mine  #vent #longday ,1,love others make problem mine #vent #longday,i love how others make their problem mine # vent # longday,love others make problem mine # vent # longday
395,yes he speaks it very well. all the gujju community will be happy to hear him speak it so well. ,0,yes speaks well. gujju community happy hear speak well.,yes he speaks it very well . all the gujju community will be happy to hear him speak it so well .,yes speaks well . gujju community happy hear speak well .
396,i really want to learn how to speak french. french just sounds so cool. ,0,really want learn speak french. french sounds cool.,i really want to learn how to speak french . french just sounds so cool .,really want learn speak french . french sounds cool .
397,"i literally had to delete more than 50% of my apps, and multiple msg threads bc ios8 required so much freakin' space. #notagoodstart",1,"literally delete 50% apps, multiple msg threads bc ios8 required much freakin' space. #notagoodstart","i literally had to delete more than 50 % of my apps , and multiple msg threads bc ios8 required so much freakin ' space . # notagoodstart","literally delete 50 % apps , multiple msg threads bc ios8 required much freakin ' space . # notagoodstart"
398,comfort gold - dog pain support dogs cannot speak and so they are not able to â€œtellâ€ us when #naturalcures ,0,comfort gold - dog pain support dogs cannot speak able â€œtellâ€ us #naturalcures,comfort gold - dog pain support dogs can not speak and so they are not able to â€œtellâ€ us when # naturalcures,comfort gold - dog pain support dogs can not speak able â€œtellâ€ us # naturalcures
399,there's no one i can speak to. i'm so sad it's unbearable ,0,there's one speak to. i'm sad unbearable,there 's no one i can speak to . i 'm so sad it 's unbearable,there 's one speak to . i 'm sad unbearable
400,i like that! it makes me want to vote yes! #not!! ,1,like that! makes want vote yes! #not!!,i like that ! it makes me want to vote yes ! # not ! !,like that ! makes want vote yes ! # not ! !
401,i love it when my ipad randomly disconnects from the internet and won't reconnect      ,1,love ipad randomly disconnects internet reconnect,i love it when my ipad randomly disconnects from the internet and wo n't reconnect,love ipad randomly disconnects internet reconnect
402,6.15am. just got busted a new one by but still smiling lol #iloverunning #not,1,6.15am. got busted new one still smiling lol #iloverunning #not,6.15am . just got busted a new one by but still smiling lol # iloverunning # not,6.15am . got busted new one still smiling lol # iloverunning # not
403,i love that i have to delete 2.5 more gigs just so i can install an update...,1,love delete 2.5 gigs install update...,i love that i have to delete 2.5 more gigs just so i can install an update ...,love delete 2.5 gigs install update ...
404,wanting to have one person you feel you can speak to so to help you through depression ,0,wanting one person feel speak help depression,wanting to have one person you feel you can speak to so to help you through depression,wanting one person feel speak help depression
405,"i love eating lunch with nothing but me, myself, and i.          ",0,"love eating lunch nothing me, myself, i.","i love eating lunch with nothing but me , myself , and i .","love eating lunch nothing me , myself , i ."
406,if the temp is -4 it is very unlikely to be a fault so speak to the train manager who maybe able to assist.,0,temp -4 unlikely fault speak train manager maybe able assist.,if the temp is -4 it is very unlikely to be a fault so speak to the train manager who maybe able to assist .,temp -4 unlikely fault speak train manager maybe able assist .
407,i just love getting rained on while wearing white shoes ðÿ˜‘ #not ,1,love getting rained wearing white shoes ðÿ˜‘ #not,i just love getting rained on while wearing white shoes ðÿ˜ ‘ # not,love getting rained wearing white shoes ðÿ˜ ‘ # not
408,bitches be so bored they mfs lives that they feel the need to speak on somethin that doesn't involve them ,0,bitches bored mfs lives feel need speak somethin involve,bitches be so bored they mfs lives that they feel the need to speak on somethin that does n't involve them,bitches bored mfs lives feel need speak somethin involve
409,"i don't like so don't look at me, speak to me or breathe the same air as meâœœï¸ ",0,"like look me, speak breathe air meâœœï¸","i do n't like so do n't look at me , speak to me or breathe the same air as meâœœï¸","like look me , speak breathe air meâœœï¸"
410,there's so much shit i don't speak on because i'm not informed enough to have an educated opinion ,0,there's much shit speak i'm informed enough educated opinion,there 's so much shit i do n't speak on because i 'm not informed enough to have an educated opinion,there 's much shit speak i 'm informed enough educated opinion
411,"i hate how you can be so used to talking to someone everyday and in the blink of an eye, you just don't speak anymore. ever. ",0,"hate used talking someone everyday blink eye, speak anymore. ever.","i hate how you can be so used to talking to someone everyday and in the blink of an eye , you just do n't speak anymore . ever .","hate used talking someone everyday blink eye , speak anymore . ever ."
412,"just speak to be like you know who i am, i'm not ya home boy or ya friends so respect it an don't speak to me as such ðÿ‘œ ",0,"speak like know am, i'm ya home boy ya friends respect speak ðÿ‘œ","just speak to be like you know who i am , i 'm not ya home boy or ya friends so respect it an do n't speak to me as such ðÿ ‘ œ","speak like know am , i 'm ya home boy ya friends respect speak ðÿ ‘ œ"
413,i can't even speak my second language so asking me to speak in spanish for class is probably not going to happen ,0,can't even speak second language asking speak spanish class probably going happen,i ca n't even speak my second language so asking me to speak in spanish for class is probably not going to happen,ca n't even speak second language asking speak spanish class probably going happen
414,ah im so envious of you im chinese and i go to a chinese sch so i dont hv friends who can speak malay sarawak ,0,ah im envious im chinese go chinese sch dont hv friends speak malay sarawak,ah im so envious of you im chinese and i go to a chinese sch so i dont hv friends who can speak malay sarawak,ah im envious im chinese go chinese sch dont hv friends speak malay sarawak
415,i love it when automatic doors don't feel like being very automatic  #helpful #thanksfornothing #youhadonejob ,1,love automatic doors feel like automatic #helpful #thanksfornothing #youhadonejob,i love it when automatic doors do n't feel like being very automatic # helpful # thanksfornothing # youhadonejob,love automatic doors feel like automatic # helpful # thanksfornothing # youhadonejob
416,"just heard someone refer to their sunglasses as ""sunnies"" so now i never want to speak to another human again. ",0,"heard someone refer sunglasses ""sunnies"" never want speak another human again.",just heard someone refer to their sunglasses as `` sunnies '' so now i never want to speak to another human again .,heard someone refer sunglasses `` sunnies '' never want speak another human again .
417,i'll dead ass walk pass people i know and act like i'm on my people so i won't have to speak if i don't feel like talking ,0,i'll dead ass walk pass people know act like i'm people speak feel like talking,i 'll dead ass walk pass people i know and act like i 'm on my people so i wo n't have to speak if i do n't feel like talking,i 'll dead ass walk pass people know act like i 'm people speak feel like talking
418,theres a korean guy in our school and my friends and i are trying so hard just to go speak to him ,0,theres korean guy school friends trying hard go speak,theres a korean guy in our school and my friends and i are trying so hard just to go speak to him,theres korean guy school friends trying hard go speak
419,sometimes you have to speak out on what you feel is right when it's so much controversy goin on right now imo ,0,sometimes speak feel right much controversy goin right imo,sometimes you have to speak out on what you feel is right when it 's so much controversy goin on right now imo,sometimes speak feel right much controversy goin right imo
420,anxiety attacks are just loads of fun ,1,anxiety attacks loads fun,anxiety attacks are just loads of fun,anxiety attacks loads fun
421,yes !! i admire that ðÿ˜ðÿ˜ i used to be so quiet and afraid to speak for myself.. then i grew up ðÿ˜ˆ ,0,yes !! admire ðÿ˜ðÿ˜ used quiet afraid speak myself.. grew ðÿ˜ˆ,yes ! ! i admire that ðÿ˜ðÿ˜ i used to be so quiet and afraid to speak for myself .. then i grew up ðÿ˜ˆ,yes ! ! admire ðÿ˜ðÿ˜ used quiet afraid speak myself .. grew ðÿ˜ˆ
422,i just love how i can go to my friends for advice. tweet ,1,love go friends advice. tweet,i just love how i can go to my friends for advice . tweet,love go friends advice . tweet
423,"sometime wonder why i speak to josh he's so horrible to me, dick ",0,"sometime wonder speak josh he's horrible me, dick","sometime wonder why i speak to josh he 's so horrible to me , dick","sometime wonder speak josh he 's horrible me , dick"
424,thank you so much for coming to speak today !! i know everyone really appreciated it â¤ï¸ ,0,thank much coming speak today !! know everyone really appreciated â¤ï¸,thank you so much for coming to speak today ! ! i know everyone really appreciated it â¤ï¸,thank much coming speak today ! ! know everyone really appreciated â¤ï¸
425,yes i can imagine. that's why jews who speak out seem so heroic to me. must be very hard. ,0,yes imagine. that's jews speak seem heroic me. must hard.,yes i can imagine . that 's why jews who speak out seem so heroic to me . must be very hard .,yes imagine . that 's jews speak seem heroic me . must hard .
426,i'm going to learn how to speak japanese so i can read that magazine ,0,i'm going learn speak japanese read magazine,i 'm going to learn how to speak japanese so i can read that magazine,i 'm going learn speak japanese read magazine
427,i look really good without makeup.... #not ,1,look really good without makeup.... #not,i look really good without makeup .... # not,look really good without makeup .... # not
428,i love it when people help themselves to my stuff.. #not ðÿ˜’ ,1,love people help stuff.. #not ðÿ˜’,i love it when people help themselves to my stuff .. # not ðÿ˜ ’,love people help stuff .. # not ðÿ˜ ’
429,i'm done getting my hopes up. ðÿ˜” #yeahright ,1,i'm done getting hopes up. ðÿ˜” #yeahright,i 'm done getting my hopes up . ðÿ˜ ” # yeahright,i 'm done getting hopes up . ðÿ˜ ” # yeahright
430,i should get a girlfriend award for managing to either tick my boyfriend off &amp; make him upset all the time ....  . ,1,get girlfriend award managing either tick boyfriend &amp; make upset time .... .,i should get a girlfriend award for managing to either tick my boyfriend off & amp ; make him upset all the time .... .,get girlfriend award managing either tick boyfriend & amp ; make upset time .... .
431,i love sitting alone in class #not ,1,love sitting alone class #not,i love sitting alone in class # not,love sitting alone class # not
432,i hate wednesday's because non of my friends finish early so i'm just left with nobody to speak to until 3.30/4 until they finish,0,hate wednesday's non friends finish early i'm left nobody speak 3.30/4 finish,i hate wednesday 's because non of my friends finish early so i 'm just left with nobody to speak to until 3.30/4 until they finish,hate wednesday 's non friends finish early i 'm left nobody speak 3.30/4 finish
433,i love getting the support and backup i need!!  ðÿ˜’ ,1,love getting support backup need!! ðÿ˜’,i love getting the support and backup i need ! ! ðÿ˜ ’,love getting support backup need ! ! ðÿ˜ ’
434,i love the fact that you can spend your day off taking selfies and hanging out with your boyfriend instead of with your kids #not ,1,love fact spend day taking selfies hanging boyfriend instead kids #not,i love the fact that you can spend your day off taking selfies and hanging out with your boyfriend instead of with your kids # not,love fact spend day taking selfies hanging boyfriend instead kids # not
435,i love monday's!!! ðÿ‘ž ,1,love monday's!!! ðÿ‘ž,i love monday 's ! ! ! ðÿ ‘ ž,love monday 's ! ! ! ðÿ ‘ ž
436,so the protesters are planning on disrupting this council meeting too. they act as if when they ask to speak at... ,0,protesters planning disrupting council meeting too. act ask speak at...,so the protesters are planning on disrupting this council meeting too . they act as if when they ask to speak at ...,protesters planning disrupting council meeting too . act ask speak at ...
437,at least it was a great sports weekend!! #not ,1,least great sports weekend!! #not,at least it was a great sports weekend ! ! # not,least great sports weekend ! ! # not
438,at least i can remember my last night in toast  #whathappened #imamess ,1,least remember last night toast #whathappened #imamess,at least i can remember my last night in toast # whathappened # imamess,least remember last night toast # whathappened # imamess
439,ahh...i can't do tomorrow now!ill be in in half an hr so speak to you then if you're there xx ,0,ahh...i can't tomorrow now!ill half hr speak xx,ahh ... i ca n't do tomorrow now ! ill be in in half an hr so speak to you then if you 're there xx,ahh ... i ca n't tomorrow now ! ill half hr speak xx
440,i like him but not everything about him#not sure#ðÿ˜£ ,0,like everything him#not sure#ðÿ˜£,i like him but not everything about him # not sure # ðÿ˜£,like everything him # not sure # ðÿ˜£
441,i just love mondays ðÿ˜’      ,1,love mondays ðÿ˜’,i just love mondays ðÿ˜ ’,love mondays ðÿ˜ ’
442,"i feel ya, since i speak spanish (more or less) i want to go to mexico city so i can see danna and cecilia. ",0,"feel ya, since speak spanish (more less) want go mexico city see danna cecilia.","i feel ya , since i speak spanish ( more or less ) i want to go to mexico city so i can see danna and cecilia .","feel ya , since speak spanish ( more less ) want go mexico city see danna cecilia ."
443,i love it when i send her something about tfios...she obviously loves it too... #not #tfios ,1,love send something tfios...she obviously loves too... #not #tfios,i love it when i send her something about tfios ... she obviously loves it too ... # not # tfios,love send something tfios ... she obviously loves too ... # not # tfios
444,good think i sent that text for you to read.. no need to reply or anything      ,1,good think sent text read.. need reply anything,good think i sent that text for you to read .. no need to reply or anything,good think sent text read .. need reply anything
445,but yet again i don't speak to anyone important so i can't complain ab conversations lmao ,0,yet speak anyone important can't complain ab conversations lmao,but yet again i do n't speak to anyone important so i ca n't complain ab conversations lmao,yet speak anyone important ca n't complain ab conversations lmao
446,"people expect more time to speak i love you, i'm sorry, forgive me, time is precious, so i'll talk to whom i love; ",0,"people expect time speak love you, i'm sorry, forgive me, time precious, i'll talk love;","people expect more time to speak i love you , i 'm sorry , forgive me , time is precious , so i 'll talk to whom i love ;","people expect time speak love you , i 'm sorry , forgive me , time precious , i 'll talk love ;"
447,ðÿœ¸ being in love sucks ðÿœ¸ #goodnight#bc#im#just#a#big#shit#not#cute#bye ,0,ðÿœ¸ love sucks ðÿœ¸ #goodnight#bc#im#just#a#big#shit#not#cute#bye,ðÿœ¸ being in love sucks ðÿœ¸ # goodnight # bc # im # just # a # big # shit # not # cute # bye,ðÿœ¸ love sucks ðÿœ¸ # goodnight # bc # im # just # a # big # shit # not # cute # bye
448,i hate when someone say they seen me. ok? and? u didn't speak so.. why u bring it to my attention ðÿ˜³ i wasn't lookin for u ,0,hate someone say seen me. ok? and? u speak so.. u bring attention ðÿ˜³ lookin u,i hate when someone say they seen me . ok ? and ? u did n't speak so .. why u bring it to my attention ðÿ˜³ i was n't lookin for u,hate someone say seen me . ok ? and ? u speak so .. u bring attention ðÿ˜³ lookin u
449,i know boo ;-( i just wish i could have the balls to speak up hurts me really bad because took me so long to forget the one ,0,know boo ;-( wish could balls speak hurts really bad took long forget one,i know boo ; - ( i just wish i could have the balls to speak up hurts me really bad because took me so long to forget the one,know boo ; - ( wish could balls speak hurts really bad took long forget one
450,"i love spanglish, its so fun to speak like that, asi no mas te entienden mitad de las chingaderas que dices. lol ",1,"love spanglish, fun speak like that, asi mas te entienden mitad de las chingaderas que dices. lol","i love spanglish , its so fun to speak like that , asi no mas te entienden mitad de las chingaderas que dices . lol","love spanglish , fun speak like that , asi mas te entienden mitad de las chingaderas que dices . lol"
451,sometimes i think about expressing my opinion. but then i remember that i haven't learned or seen enough to speak. so i listen and learn ,0,sometimes think expressing opinion. remember learned seen enough speak. listen learn,sometimes i think about expressing my opinion . but then i remember that i have n't learned or seen enough to speak . so i listen and learn,sometimes think expressing opinion . remember learned seen enough speak . listen learn
452,you about to go over to greece? rt so i gotta learn how to speak greek? ,0,go greece? rt gotta learn speak greek?,you about to go over to greece ? rt so i got ta learn how to speak greek ?,go greece ? rt got ta learn speak greek ?
453,english this morning oh the joys      ,1,english morning oh joys,english this morning oh the joys,english morning oh joys
454,i'm so excited to hear speak today! thanks ,0,i'm excited hear speak today! thanks,i 'm so excited to hear speak today ! thanks,i 'm excited hear speak today ! thanks
455,i intentionally sat at the table with only one chair so people would not speak to me could u not ,0,intentionally sat table one chair people would speak could u,i intentionally sat at the table with only one chair so people would not speak to me could u not,intentionally sat table one chair people would speak could u
456,just pre-ordered afterworlds!!! so excited to hear you speak in st louis!!!!!! ,0,pre-ordered afterworlds!!! excited hear speak st louis!!!!!!,just pre-ordered afterworlds ! ! ! so excited to hear you speak in st louis ! ! ! ! ! !,pre-ordered afterworlds ! ! ! excited hear speak st louis ! ! ! ! ! !
457,good to see clichy and sagna re-united #not ,1,good see clichy sagna re-united #not,good to see clichy and sagna re-united # not,good see clichy sagna re-united # not
458,nothing gets to me anymore. im unbothered by a lot of shit. so i won't fix my lips to speak on it. it's whatever really. ,1,nothing gets anymore. im unbothered lot shit. fix lips speak it. whatever really.,nothing gets to me anymore . im unbothered by a lot of shit . so i wo n't fix my lips to speak on it . it 's whatever really .,nothing gets anymore . im unbothered lot shit . fix lips speak it . whatever really .
459,conservatives don't need other languages they wanna talk to me they better speak english *sarcasm but so true ,0,conservatives need languages wanna talk better speak english *sarcasm true,conservatives do n't need other languages they wan na talk to me they better speak english * sarcasm but so true,conservatives need languages wan na talk better speak english * sarcasm true
460,i just got along with it most of the time so i don't have to speak to them at all. ,0,got along time speak all.,i just got along with it most of the time so i do n't have to speak to them at all .,got along time speak all .
461,black boys at uncw be so anti vs. other guys. you speak to them &amp; they would think you pulled out a gun &amp; pointed it at their face. âœ‹ðÿ˜’ ,0,black boys uncw anti vs. guys. speak &amp; would think pulled gun &amp; pointed face. âœ‹ðÿ˜’,black boys at uncw be so anti vs. other guys . you speak to them & amp ; they would think you pulled out a gun & amp ; pointed it at their face . âœ‹ðÿ˜ ’,black boys uncw anti vs. guys . speak & amp ; would think pulled gun & amp ; pointed face . âœ‹ðÿ˜ ’
462,i'm at my state fair and all kids get in free today and the line to get in can't be any longer. #fun      ,1,i'm state fair kids get free today line get can't longer. #fun,i 'm at my state fair and all kids get in free today and the line to get in ca n't be any longer . # fun,i 'm state fair kids get free today line get ca n't longer . # fun
463,the fact that the same adam levine song is playing and three radio station simultaneously really speaks to how good radio is      ,1,fact adam levine song playing three radio station simultaneously really speaks good radio,the fact that the same adam levine song is playing and three radio station simultaneously really speaks to how good radio is,fact adam levine song playing three radio station simultaneously really speaks good radio
464,wanting to speak to someone for so long but when you finally do things only get worse..great start to the day. fs ,0,wanting speak someone long finally things get worse..great start day. fs,wanting to speak to someone for so long but when you finally do things only get worse .. great start to the day . fs,wanting speak someone long finally things get worse .. great start day . fs
465,people moaning about folk going on about the indyref need to wise up. go speak about big brother then cause it's so much more importantðÿ˜‚ ,0,people moaning folk going indyref need wise up. go speak big brother cause much importantðÿ˜‚,people moaning about folk going on about the indyref need to wise up . go speak about big brother then cause it 's so much more importantðÿ˜‚,people moaning folk going indyref need wise up . go speak big brother cause much importantðÿ˜‚
466,i just noticed that i liked almost every post of yours in instagram. i like your face too much haha #oops #sorry #not #xoxo ,1,noticed liked almost every post instagram. like face much haha #oops #sorry #not #xoxo,i just noticed that i liked almost every post of yours in instagram . i like your face too much haha # oops # sorry # not # xoxo,noticed liked almost every post instagram . like face much haha # oops # sorry # not # xoxo
467,i get so paranoid when people next to me speak another language ,0,get paranoid people next speak another language,i get so paranoid when people next to me speak another language,get paranoid people next speak another language
468,i should dress up for school more often lol #not ,1,dress school often lol #not,i should dress up for school more often lol # not,dress school often lol # not
469,"exactly so haters need to stop trying to speak their so called ""knowledge"" until the games over because then you look foolish ",1,"exactly haters need stop trying speak called ""knowledge"" games look foolish",exactly so haters need to stop trying to speak their so called `` knowledge '' until the games over because then you look foolish,exactly haters need stop trying speak called `` knowledge '' games look foolish
470,"sometimes you donâ€™t have to speak in order to be heard, not when the message is so powerful. --elie wiesel #holocaust ",0,"sometimes donâ€™t speak order heard, message powerful. --elie wiesel #holocaust","sometimes you donâ€™t have to speak in order to be heard , not when the message is so powerful . -- elie wiesel # holocaust","sometimes donâ€™t speak order heard , message powerful . -- elie wiesel # holocaust"
471,"had a weigh in with all our gear, i'm pushing a solid 260 pounds with all my gear on. ðÿ’ª #gainsongains #not #itsucks #badknees",1,"weigh gear, i'm pushing solid 260 pounds gear on. ðÿ’ª #gainsongains #not #itsucks #badknees","had a weigh in with all our gear , i 'm pushing a solid 260 pounds with all my gear on . ðÿ ’ ª # gainsongains # not # itsucks # badknees","weigh gear , i 'm pushing solid 260 pounds gear on . ðÿ ’ ª # gainsongains # not # itsucks # badknees"
472,why should it take crimewatch for people to phone in? if youve seen a crime then you know youve see a crime so speak up earlier ,0,take crimewatch people phone in? youve seen crime know youve see crime speak earlier,why should it take crimewatch for people to phone in ? if youve seen a crime then you know youve see a crime so speak up earlier,take crimewatch people phone in ? youve seen crime know youve see crime speak earlier
473,"if you wish to correct a persons behavior, do so by applicable means; speak of their position, their possessions, their responsibilities ",0,"wish correct persons behavior, applicable means; speak position, possessions, responsibilities","if you wish to correct a persons behavior , do so by applicable means ; speak of their position , their possessions , their responsibilities","wish correct persons behavior , applicable means ; speak position , possessions , responsibilities"
474,currently have a customer that cannot speak properly and has to talk with a notepad. so much respect for having to live every day like that ,1,currently customer cannot speak properly talk notepad. much respect live every day like,currently have a customer that can not speak properly and has to talk with a notepad . so much respect for having to live every day like that,currently customer can not speak properly talk notepad . much respect live every day like
475,i love when people run their mouth about something they know nothing about. â˜ºï¸ tweet #justshutup ,1,love people run mouth something know nothing about. â˜ºï¸ tweet #justshutup,i love when people run their mouth about something they know nothing about . â˜ºï¸ tweet # justshutup,love people run mouth something know nothing about . â˜ºï¸ tweet # justshutup
476,i don't think so. cause they see me to and they don't speak ,0,think so. cause see speak,i do n't think so . cause they see me to and they do n't speak,think so . cause see speak
477,people need to understand that i am a very talkative person. so when. i don't want to speak. don speak to me or ask me 1000 questions,0,people need understand talkative person. when. want speak. speak ask 1000 questions,people need to understand that i am a very talkative person . so when . i do n't want to speak . don speak to me or ask me 1000 questions,people need understand talkative person . when . want speak . speak ask 1000 questions
478,if i speak to you for more than like 2 days u must be interesting cos i lose interest in people so quickly,0,speak like 2 days u must interesting cos lose interest people quickly,if i speak to you for more than like 2 days u must be interesting cos i lose interest in people so quickly,speak like 2 days u must interesting cos lose interest people quickly
479,absolutely love waking up to the sound of the garbage truck out my window... #not #resprobs ,1,absolutely love waking sound garbage truck window... #not #resprobs,absolutely love waking up to the sound of the garbage truck out my window ... # not # resprobs,absolutely love waking sound garbage truck window ... # not # resprobs
480,i just love it when i use new face wash and my face breaks out in a rash #not ,1,love use new face wash face breaks rash #not,i just love it when i use new face wash and my face breaks out in a rash # not,love use new face wash face breaks rash # not
481,actions speak louder than words. so what you say a lot of words. your actions say nothing to me. ,1,actions speak louder words. say lot words. actions say nothing me.,actions speak louder than words . so what you say a lot of words . your actions say nothing to me .,actions speak louder words . say lot words . actions say nothing me .
482,i love how i got so pissed yesterday that i had to take a breathing treatment because it screwed up my breathing... ðÿ˜’ #not #done ,1,love got pissed yesterday take breathing treatment screwed breathing... ðÿ˜’ #not #done,i love how i got so pissed yesterday that i had to take a breathing treatment because it screwed up my breathing ... ðÿ˜ ’ # not # done,love got pissed yesterday take breathing treatment screwed breathing ... ðÿ˜ ’ # not # done
483,this little girl came to my job with her parents &amp; she didn't speak english she looked so lost &amp; she tried to talk to me but she couldn't ðÿ˜” ,0,little girl came job parents &amp; speak english looked lost &amp; tried talk ðÿ˜”,this little girl came to my job with her parents & amp ; she did n't speak english she looked so lost & amp ; she tried to talk to me but she could n't ðÿ˜ ”,little girl came job parents & amp ; speak english looked lost & amp ; tried talk ðÿ˜ ”
484,"if i say idc then that means idc , so you will never hear me speak to much on something idc about .. you bitches care fr ",0,"say idc means idc , never hear speak much something idc .. bitches care fr","if i say idc then that means idc , so you will never hear me speak to much on something idc about .. you bitches care fr","say idc means idc , never hear speak much something idc .. bitches care fr"
